land_parcel_std,separated_names,tenderer_rank,num_tenderers_same_rank,tender_price,price_psm_gfa,tenderer_id,tenderer_name,unified_name
Punggol E16,Peak Square Pte. Ltd.,1,1,312800000.0,3823.03,tenderer_1,Peak Square Pte. Ltd.,0
Bukit Merah S1,Oaks Development Pte. Ltd.,2,1,20355680.0,780.36,tenderer_1,Oaks Development Pte. Ltd.,0
Sengkang E14,Sing Holdings Residential Pte. Ltd. | MCC Land (Singapore) Pte. Ltd.,2,2,285100000.0,5944.04,tenderer_1,Sing Holdings Residential Pte. Ltd.,0
Sengkang E8,Peak Living Pte. Ltd.,1,1,245000000.0,3181.82,tenderer_1,Peak Living Pte. Ltd.,0
Ang Mo Kio S6,AMK Development Pte. Ltd.,2,1,181528000.0,5791.11,tenderer_1,AMK Development Pte. Ltd.,0
Clementi S7,"Guok Chin Huat, Samuel/Sio Tat Long",2,1,3540000.0,1389.32,tenderer_1,"Guok Chin Huat, Samuel/Sio Tat Long",0
Woodlands S2b,Ng Cheow Chye / Sio Tat Long / Chen Yang Chin / Lim Cheng Chua / Guok Chin Huat (Samuel),2,1,6300004.0,0.0,tenderer_1,Ng Cheow Chye / Sio Tat Long / Chen Yang Chin / Lim Cheng Chua / Guok Chin Huat,0
Fullerton Road/Esplanade Drive,GUAN SENG KEE Pte. Ltd.,2,1,4300000.0,1911.11,tenderer_1,GUAN SENG KEE Pte. Ltd.,0
Marina Boulevard/Central Boulevard,Winquest Investment Pte. Ltd. | Winance Investment Pte. Ltd. | Vitaland Ltd.,2,3,1660458000.0,3791.0,tenderer_1,Winquest Investment Pte. Ltd.,0
Victoria Street,Jack Investment Pte. Ltd.,1,1,,0.0,tenderer_1,Jack Investment Pte. Ltd.,0
Victoria Street,Topwise Pte. Ltd.,2,1,,0.0,tenderer_1,Topwise Pte. Ltd.,0
Flower Road/Kovan Road,WINWILL INVESTMENT Pte. Ltd. | NTUC CHOICE HOMES CO-OPERATIVE LIMITED & GREATEARTH DEVELOPMENTS Pte. Ltd.,1,2,255000000.0,2882.85,tenderer_1,WINWILL INVESTMENT Pte. Ltd.,0
Handy Road,LAM KONG YIN PATRICK,1,1,12300000.0,3718.26,tenderer_1,LAM KONG YIN PATRICK,0
Lower Delta Road,AFFLUENCE RESOURCE Pte. Ltd.,2,1,15500000.0,574.04,tenderer_1,AFFLUENCE RESOURCE Pte. Ltd.,0
North Bridge Road/Bras Basah Road,CITYVIEW DEVELOPMENT Pte. Ltd.,2,1,37001000.0,2148.47,tenderer_1,CITYVIEW DEVELOPMENT Pte. Ltd.,0
North Bridge Road/Bras Basah Road,CARLTON PROPERTIES (SINGAPORE) Pte. Ltd.,1,1,55600000.0,3228.43,tenderer_1,CARLTON PROPERTIES Pte. Ltd.,0
Jellicoe Road,WOODSVALE LAND Pte. Ltd.,1,1,161500000.0,2634.58,tenderer_1,WOODSVALE LAND Pte. Ltd.,0
